episode,return,length
0,-2243.2594902697,245
1,-3027.6312727137138,216
2,168.09981084215795,300
3,42.312467633446765,23
4,-2303.6832300286364,219
5,61.92001814657621,76
6,52.45091048632445,39
7,53.404461732128944,38
8,120.63931087634765,110
9,-2865.31867329256,203
10,80.83082120416435,58
11,70.95591410496453,67
12,87.81812754579865,56
13,59.05049329819042,81
14,-2770.1840709214457,217
15,53.1874106660344,43
16,51.58275519429738,74
17,141.90252940223567,123
18,-2612.2506226498763,199
19,66.82051304741465,70
20,78.28602472194319,77
21,40.603147415351316,84
22,-2552.3167780398726,236
23,120.15267003347722,83
24,-2048.1555060455057,191
25,-2305.777069563714,206
26,66.98618015324291,83
27,43.14821980284441,24
28,98.48302499823582,90
29,75.28709833193717,47
30,-2667.3940592815247,190
31,184.79893041664116,300
32,-1742.9054381285787,187
33,165.49079521059417,300
34,56.56507527442305,103
35,29.80112267223818,70
36,156.6632874489985,159
37,-2412.2822579973526,236
38,163.69377793537265,300
39,183.575040761082,300
40,128.34610268463342,172
41,224.09434391409926,275
42,136.63004736115445,142
43,39.78639227683903,28
44,190.7408404497718,300
45,199.8217589543913,167
46,53.523920374223955,48
47,152.25817874544924,135
48,340.9467677958929,300
49,102.9470207681318,122
50,225.97885464348565,300
51,108.11924365490847,166
52,232.43371488095414,194
53,253.55411599372277,300
54,177.65064796305103,150
55,174.21626153944558,169
56,225.7421436230165,300
57,271.8195492546887,300
58,387.11049573616015,300
59,-2187.9207198601325,300
60,243.54446249816021,162
61,355.193868090261,300
62,57.46884861371779,83
63,392.3759451870101,300
64,-2741.1665720335186,300
65,319.64104336004357,300
66,334.5783220338595,300
67,435.9571593263193,300
68,124.20500102095747,153
69,214.951910828479,300
70,160.04728718093193,160
71,122.42797979555817,142
72,-2335.907392392064,300
73,421.6456368323074,300
74,343.785312645569,300
75,-2043.4531613373551,300
76,341.90830107628756,300
77,35.8012837358627,74
78,-2641.6189026835314,300
79,423.56747700156814,300
80,-3148.8180269872414,300
81,396.29999959060467,300
82,389.3356801412133,289
83,144.19597527378545,148
84,382.1217146959527,300
85,407.8874638239354,300
86,112.96663877222127,104
87,409.8920762463136,300
88,325.37955632221383,300
89,379.58096034333323,300
90,387.01816346288996,300
91,331.03895317622863,300
92,349.83779417715823,289
93,342.5584346477545,300
94,283.1152306391463,300
95,-2445.2483161751675,300
96,365.0296729367817,300
97,492.4343827153146,300
98,415.64600118625395,284
99,378.7995413395543,300
100,186.4529168208565,235
101,307.5861809290932,245
102,-2043.3856921913343,300
103,418.86611783671486,300
104,332.0349387872892,300
105,343.6375177454912,300
106,332.5845745455656,233
107,376.6987985161331,300
108,325.3767326303219,300
109,422.2987740398872,300
110,359.4678758546982,300
111,280.6904733528062,300
112,329.4950570466581,225
113,374.63503861701224,300
114,156.49358824330537,186
115,305.1984321559379,300
116,389.3659114969036,300
117,358.03822284568577,300
118,305.6852152761634,190
119,56.25551745149207,51
120,332.6248011766461,300
121,-2395.9158089527996,281
122,385.6510536728542,300
123,423.30250610885895,300
124,212.66415320661304,192
125,356.33202795814765,300
126,274.93051712035196,300
127,202.30526140934296,171
128,297.19387077407725,300
129,377.0322124026261,300
130,337.3039225858621,300
131,359.7383676407276,300
132,331.31547197000515,300
133,418.1966609460634,300
134,-2475.643087983725,300
135,332.59965715011134,300
136,-2485.664755452311,300
137,280.46806689936847,300
138,427.594714268203,300
139,319.93514677386645,300
140,305.04134904387655,300
141,282.4761583771369,300
142,357.8505756594565,300
143,362.1556600308066,300
144,355.88320459042944,300
145,369.5789530771183,300
146,168.98456919587275,123
147,267.7925321408808,300
148,201.92589662615526,186
149,199.65058745595826,194
150,397.4711240332451,300
151,362.32851070276035,300
152,390.484713602653,300
153,282.3833203799653,300
154,-2221.948704845925,300
155,387.4995529836146,300
156,352.0395859953345,300
157,414.53022815758936,300
158,87.29691416361224,80
159,-2145.408593192638,300
160,401.1524270693377,300
161,327.9530501999831,300
162,360.7863804267329,300
163,275.9494489128365,300
164,-1819.0165814322906,300
165,407.19293088123254,300
166,296.797092922633,300
167,350.2193058454331,300
168,341.8304260465623,300
169,449.10919747196357,300
170,373.738027798764,300
171,379.11438204222713,300
172,391.6015474212747,300
173,-2601.3481761762096,300
174,340.1836245044537,300
175,325.8116774821733,300
176,-1534.827685090676,300
177,142.66340582051862,120
178,-2097.4380602534716,300
179,384.9178487218052,300
180,222.17224979916705,161
181,217.2201432574063,300
182,316.64931352265756,300
183,485.35275969559996,300
184,416.72886579988625,300
185,462.8444387465103,300
186,229.11006836725628,300
187,244.0348067676264,198
188,421.0241929633774,300
189,428.6712889545432,300
190,405.8283336864285,300
191,432.9193756562468,300
192,310.2733038239312,300
193,269.91346842012524,300
194,262.621508599645,300
195,167.49470737237897,191
196,334.49283976197273,300
197,323.8312554630295,300
198,248.66878988976967,300
199,359.4116464747604,300
